row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,1,2,4,5}",,-0.458419919;1.284608841;0.9802866578;-1.653084636;0.0107224742;-1.040892124;0.8088559508;1.855721116;-0.6335774064,6.231150627,6.096164583,9.060971567,1
SUBSET_WITNESS,,"{0,1,2,4,6}",,0.7474012971;1.52653873;1.30644846;1.295874357;-0.9308936;0.3363648951;-1.4410007;0.6664187312;0.07299281657,5.442012787,5.379127793,8.405108906,1
SUBSET_WITNESS,,"{0,1,2,5,6}",,0.1385244578;1.252874136;1.240814805;1.196627855;-1.40900445;-0.2877051532;0.3961080909;1.303746462;-0.0176958181,5.06282711,4.674028212,6.125461785,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.1822574139;1.216004729;0.6595950723;-1.435030341;-0.5142896175;0.3606208861;-1.052622318;-1.061441183;0.3999495208,4.281919003,3.849193153,4.474908275,1
SUBSET_WITNESS,,"{0,1,3,4,6}",,-0.0444826372;1.092963338;1.052997231;0.4672288001;-1.201528072;-0.1058837622;-1.136783838;-0.7859739065;0.2876595855,4.355145454,3.817809883,4.837476833,1
SUBSET_WITNESS,,"{0,1,3,5,6}",,0.08389506489;1.326815963;1.039828539;0.7776623964;-1.006082892;0.2506248355;0.4590424895;-0.6540810466;0.4290618002,4.403790951,4.121950095,5.606440626,1
SUBSET_WITNESS,,"{0,1,4,5,6}",,0.4379926026;1.065351605;0.9156582952;-1.669773817;-1.394945383;0.6983634233;-1.07602632;-1.25061667;0.3474425972,4.259335518,4.246233243,7.069673041,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.1379563957;0.437551856;0.6716478467;0.3073826432;-1.093384385;-0.3780727386;0.007681277115;0.8445785642;-1.002743125,3.813293695,3.571280928,5.743013976,1
SUBSET_WITNESS,,"{0,2,3,4,6}",,0.9553951621;0.5706766844;0.03576862067;0.4881064296;-0.7622855306;-0.2149668783;0.6135974526;0.2151148766;-0.7390042543,4.447561264,4.477955813,4.885754517,1
SUBSET_WITNESS,,"{0,2,3,5,6}",,0.3216650784;1.264137506;0.4033318162;0.6974044442;-0.889817059;-0.2881464958;0.08320162445;0.7344236374;0.04658101127,4.143431664,4.137656244,6.276167549,1
SUBSET_WITNESS,,"{0,2,4,5,6}",,0.6197493672;1.208710074;-0.03616604209;0.5122517347;-1.230384469;-0.02918764204;0.9836455584;-0.4057305753;-0.5505564809,3.943119049,3.539317165,5.147278745,1
SUBSET_WITNESS,,"{0,3,4,5,6}",,0.4134063423;0.3088947535;0.522434175;0.2283501923;-1.141417623;-0.33294034;0.1913824528;-0.7514609694;-0.5464456081,3.782744884,3.737677358,5.793601635,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-1.005292177;1.752401233;1.834887862;-0.4081155956;-0.2213146836;0.7569774389;0.5866015553;1.894061565;-0.8141005039,9.896471977,9.736952677,13.16610274,1
SUBSET_WITNESS,,"{1,2,3,4,6}",,-0.1795865893;2.827261209;0.3053607941;-0.8326553106;0.5260003805;0.02507693134;-1.52471149;0.3964198828;-0.1220363751,8.51704216,8.528962702,8.961583575,1
SUBSET_WITNESS,,"{1,2,3,5,6}",,-0.1078707576;1.650595307;0.5187479854;-0.565923512;0.5503800511;-0.3512718976;-0.9085342288;0.853520751;0.04940078408,5.748985767,5.520064935,6.219597153,1
SUBSET_WITNESS,,"{1,2,4,5,6}",,0.1669775248;1.728984833;0.57448107;-1.247164249;-0.611179471;1.122855067;-0.9346563816;-1.073860049;0.3304913342,4.789778233,4.68656337,5.275484687,1
SUBSET_WITNESS,,"{1,3,4,5,6}",,0.004421484191;1.613386154;0.5945542455;-1.173543096;0.009665615857;0.6901481748;-0.9584606886;-1.066423535;0.1952334642,4.272978783,4.228403628,5.06263809,1
SUBSET_WITNESS,,"{2,3,4,5,6}",,0.6427006721;0.9861719608;-0.1821593791;-0.9795299768;0.03197531402;-0.06225827336;0.6613257527;-1.229422092;-0.5921320915,4.327407837,4.161614905,5.565471407,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.341263324;1.179904342;0.7371577024;-1.14712739;0.1200176775;-0.549320817;0.552916646;1.574956059;-0.4544879496,6.008280754,5.908754764,6.887355064,1
SUBSET_WITNESS,,"{0,1,2,3,4,6}",,0.4122621119;1.478123903;1.312973142;0.5326077938;-0.733912766;0.3832736611;-0.8403037786;0.4416684806;-0.004391139839,5.469293118,5.147235632,6.456945718,1
SUBSET_WITNESS,,"{0,1,2,3,5,6}",,0.3310190737;0.216803804;0.2397463024;1.415281177;-1.003097534;0.05489087105;-0.4087689817;0.7430912256;0.1284264922,5.012032032,4.708590125,8.304941488,1
