row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{1,2,5}",,-1.489823699;0.09376822412;-2.194362879;0.3007843792;-0.4645769596;1.486947894;-0.6180059314,8.508696556,8.465898667,9.123843547,1
SUBSET_WITNESS,,"{1,2,6}",,0.06958419085;-0.6200364828;-0.6787668467;-0.1964058727;0.6235285401;0.881051302;-0.7012290955,2.80479002,2.413336945,4.516285937,1
SUBSET_WITNESS,,"{1,3,4}",,0.6358386278;1.128099084;-0.6635586619;1.342912436;1.368511081;-1.229140639;0.8664514422,6.043504238,5.670804299,6.525723606,1
SUBSET_WITNESS,,"{1,3,5}",,-0.8553023934;1.051479578;0.148452431;0.1566572636;1.133363247;1.399643779;0.9411702156,5.891573429,5.357719619,6.843092166,1
SUBSET_WITNESS,,"{1,3,6}",,-0.3184878528;1.205030441;0.3105230033;0.3163662851;0.1608934999;0.5523216724;-0.2726159394,2.178623199,1.20892471,4.402012847,1
SUBSET_WITNESS,,"{1,4,5}",,0.06135326251;-0.06896793097;-1.014880061;1.377982855;1.557130575;1.697002769;1.243115902,8.419797897,8.353026128,8.934392206,1
SUBSET_WITNESS,,"{1,4,6}",,0.7930363417;0.5076981783;-0.3400894403;1.105890393;0.8176503778;-1.143024564;1.155403018,5.697770119,5.778018665,6.31700354,1
SUBSET_WITNESS,,"{1,5,6}",,-0.2725698948;0.1633458287;-0.5348895192;0.7904689908;0.9435011744;1.112777591;0.9145036936,4.876508713,4.889212778,5.950848352,1
SUBSET_WITNESS,,"{2,3,4}",,0.3868285716;0.9173408747;-1.282756567;1.317596436;-1.447674751;-0.7627488971;1.196269393,6.955369949,6.845147759,7.359868492,1
SUBSET_WITNESS,,"{2,3,5}",,-0.3935429454;1.236554861;-1.298225164;-0.1952872425;0.04819063097;0.03725552931;0.9814659953,4.166262627,3.906257109,4.843177003,1
SUBSET_WITNESS,,"{2,3,6}",,0.4773544073;0.8858054876;-1.247202396;0.0327603668;-0.0645031631;-0.07615400106;0.08720353991,2.413043976,2.338140216,4.899396516,1
SUBSET_WITNESS,,"{2,4,5}",,0.3966694772;-0.1020941436;-1.563715219;-1.383928895;0.5091249347;-0.5852078795;1.366684556,5.288477421,5.227905563,6.10996239,1
SUBSET_WITNESS,,"{2,4,6}",,0.5398906469;0.1264088899;-1.393466711;0.7419840097;-0.8081202507;-0.8907783031;0.8943215013,4.950592995,4.814078139,5.853531688,1
SUBSET_WITNESS,,"{2,5,6}",,-0.341474086;0.4182071984;-1.34345603;-0.3142867982;-0.3518146276;-0.217276141;0.8502938151,3.60083437,2.854232949,4.551408657,1
SUBSET_WITNESS,,"{3,4,5}",,-0.4403166175;1.28590107;-1.092930675;0.8208442926;-0.2422046214;-0.01619732007;1.714497089,4.895787239,4.496438935,6.623183848,1
SUBSET_WITNESS,,"{3,4,6}",,0.09645976126;0.8451634645;-0.6123523712;0.9354715943;0.745225668;-0.2051431388;1.399604797,4.356801033,3.783888402,5.34970335,1
SUBSET_WITNESS,,"{3,5,6}",,-0.5833126903;0.7049478292;-0.9548584223;-0.1864508688;-0.09729172289;-0.02887995169;1.405284762,4.198932648,4.415314086,5.109341349,1
SUBSET_WITNESS,,"{4,5,6}",,0.09830467403;-0.04237699136;-0.9647070169;0.2619667351;-0.40477404;-0.4560292363;1.540654778,4.39394331,3.856001384,6.002262064,1
SUBSET_WITNESS,,"{0,1,2,3}",,0.8795950413;1.506494522;0.2454170436;-1.449094534;-0.1651599407;0.7779433727;-0.4135451019,4.532124996,4.27328823,4.819558755,1
SUBSET_WITNESS,,"{0,1,2,4}",,0.9031327963;1.148331046;-1.050333738;-1.474039197;-1.389585495;-0.9916188121;0.8239434958,6.903069496,6.663390948,7.373722814,1
SUBSET_WITNESS,,"{0,1,2,5}",,0.3161599636;0.9707189798;0.9233496189;-1.927958608;1.058738232;1.367888451;0.9411991835,8.703454018,8.667192482,8.94737637,1
SUBSET_WITNESS,,"{0,1,2,6}",,1.447476745;0.6637822986;0.3357458413;-1.460868359;-0.2807379067;0.9554177523;-0.4799849093,5.308674335,5.32597815,5.79125345,1
SUBSET_WITNESS,,"{0,1,3,4}",,1.00674057;1.306818724;-0.1252159923;-0.6156080961;1.129628658;-1.209775209;0.8946950436,5.996389389,5.914928881,6.295284217,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.1449973434;1.057227373;-0.03056019917;-0.7196913362;0.04285145923;1.789729357;1.005431294,5.941281796,5.91879352,6.156907088,1
SUBSET_WITNESS,,"{0,1,3,6}",,0.8256976604;0.987431407;-0.08746379614;0.03494769335;-0.001661076676;0.7795901299;0.09581664205,3.256917477,2.556904558,8.248833552,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.8779042363;0.5932355523;-0.2542817295;-0.7215432525;1.61100173;1.185556531;1.134525895,6.866309166,6.893518278,7.745583195,1
SUBSET_WITNESS,,"{0,1,4,6}",,0.9186732173;0.31585145;0.02814024873;-0.3919644654;1.122873664;-1.510249734;1.020720124,5.911037445,5.93390286,6.517766941,1
SUBSET_WITNESS,,"{0,1,5,6}",,0.3079514503;0.237409994;-0.1468957812;-0.6737290621;1.120344281;1.20724535;0.9156363606,5.578201294,5.748355449,6.02331827,1
SUBSET_WITNESS,,"{0,2,3,4}",,0.4708510935;1.239752054;-1.309710145;-1.411133528;0.44622159;-0.4069282413;1.159970045,5.224681854,4.861823195,5.642809256,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.119013153;1.655208111;-1.465853453;-0.3228649795;-0.4881181717;-0.1829443276;1.245045304,4.545443058,4.584518688,6.397782449,1
SUBSET_WITNESS,,"{0,2,3,6}",,0.7058146;1.102654338;-0.07188487053;-1.042218089;-0.4038599432;-0.3155252337;0.4304656088,3.7270329,3.196470215,5.122379953,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.4844854474;1.105036497;-1.584495068;-1.480574489;0.1460582912;-0.4840180576;1.483042836,5.551445961,5.173995498,6.819825117,1
SUBSET_WITNESS,,"{0,2,4,6}",,0.5820476413;-0.3745221198;-0.5341192484;-0.5847135186;0.9506833553;-1.202544212;1.20927465,5.98013401,5.678802108,6.181871635,1
SUBSET_WITNESS,,"{0,2,5,6}",,0.5280111432;0.8082754612;0.08457700163;-1.491298676;-0.4332845211;-0.449180454;1.373467207,5.134788513,4.610489577,5.677181546,1
SUBSET_WITNESS,,"{0,3,4,5}",,0.2793284953;1.26902926;-1.185679317;0.1822534502;-0.3983536363;-0.1826906651;1.565518618,4.86531496,4.341735447,5.582088921,1
SUBSET_WITNESS,,"{0,3,4,6}",,0.5431143641;0.6576321125;-0.4161662161;0.8438605666;-0.01965030096;-0.07394075394;1.250058651,4.3514781,4.116444038,6.591643946,1
SUBSET_WITNESS,,"{0,3,5,6}",,0.006590330042;0.9217595458;-0.08517735451;-1.156183124;-0.3698260486;-0.1229468882;1.405845404,4.494267941,4.407304494,4.935067974,1
SUBSET_WITNESS,,"{0,4,5,6}",,0.6928059459;-0.2030959129;-0.9614269733;-0.8355179429;0.6325752735;0.5298264623;1.442138076,5.287802696,5.164905324,5.7322976,1
SUBSET_WITNESS,,"{1,2,3,4}",,0.4753298163;1.251835823;-1.08458209;1.733995795;-1.678003073;-1.134841442;0.9515609145,8.494995117,8.106058998,8.854894883,1
SUBSET_WITNESS,,"{1,2,3,5}",,-1.363643169;1.004802823;-1.437238336;-0.2610018849;-0.2326582521;1.710857153;1.067050457,10.40553188,9.990467247,10.85544536,1
SUBSET_WITNESS,,"{1,2,3,6}",,0.182179749;1.032377601;0.6548053622;0.4133940637;-0.02643925138;0.2534193397;-0.5837320089,3.11252737,3.022166928,7.309632489,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.8929721117;0.826736331;-0.110463731;-1.3924793;1.464353681;-2.057626009;1.237412453,10.20497036,10.04379317,10.63878319,1
SUBSET_WITNESS,,"{1,2,4,6}",,0.3871464133;-0.04861635715;-0.6213986278;1.053039312;-1.211639047;-1.39784956;1.015860081,6.103078842,5.72906407,6.375875027,1
